name,location,date_from,date_to,duration,employee_id,institute_id
Tech Support,"Ap #404-3863 In, St.",2015-01-13 ,2016-08-29,2,4,2
Legal Department,Ap #363-3202 Accumsan Ave,2015-06-13 ,2015-07-16,6,5,1
Research and Development,191-9362 Penatibus Avenue,2016-07-27 ,2016-02-21,5,6,1
Asset Management,"845-2416 Eu, Rd.",2015-01-30 ,2016-01-30,3,2,1
Customer Relations,7255 Enim. Rd.,2015-10-10 ,2014-12-15,2,4,2
Accounting,Ap #426-9940 Convallis Av.,2016-10-01 ,2016-10-13,2,4,2
Quality Assurance,Ap #382-7149 Purus Ave,2015-11-23 ,2015-05-05,5,1,2
Customer Relations,465-7140 Amet Rd.,2015-10-04 ,2016-03-02,9,4,1
Payroll,259-139 Nunc. Street,2016-01-19 ,2016-09-24,9,4,1
Finances,Ap #511-8667 Hendrerit. Ave,2015-11-11 ,2015-10-24,7,2,2
Quality Assurance,373-9326 Quisque Rd.,2016-06-21 ,2016-05-06,7,3,2
Accounting,"P.O. Box 944, 234 Elit, Rd.",2016-08-01 ,2015-05-06,3,5,2
Customer Relations,"P.O. Box 983, 531 Ad Road",2016-09-20 ,2015-08-29,7,6,1
Sales and Marketing,Ap #697-4752 Lectus Ave,2016-08-07 ,2014-12-02,5,3,1
Public Relations,Ap #786-8955 Cras St.,2015-05-14 ,2015-06-01,5,5,2
Customer Relations,Ap #338-2630 Per Rd.,2015-09-19 ,2016-10-14,8,3,2
Research and Development,243-5161 Magnis Road,2016-09-14 ,2015-09-25,1,6,2
Customer Relations,"P.O. Box 833, 1309 Nec, Ave",2015-06-10 ,2016-01-31,8,3,1
Payroll,612-8936 Vitae Rd.,2014-11-18 ,2015-11-09,1,1,1
Customer Service,"P.O. Box 145, 2601 Id, Street",2015-09-28 ,2015-03-05,5,1,2
Media Relations,Ap #789-4950 Turpis Rd.,2015-02-16 ,2015-07-02,4,3,1
Tech Support,"P.O. Box 522, 5525 Nunc St.",2014-12-20 ,2015-07-28,4,3,2
Sales and Marketing,"P.O. Box 262, 4720 Quisque Av.",2015-10-11 ,2015-11-27,5,2,1
Customer Service,"P.O. Box 543, 5465 Eros Road",2016-10-09 ,2016-06-01,3,2,1
Research and Development,4855 Luctus. Avenue,2016-02-02 ,2016-01-22,2,1,2
Legal Department,"P.O. Box 869, 3830 A Rd.",2015-10-07 ,2016-02-17,9,3,1
Payroll,"P.O. Box 643, 5162 Semper Avenue",2016-10-04 ,2015-04-05,10,3,2
Legal Department,Ap #840-6081 Vel Road,2016-03-15 ,2014-12-05,10,3,2
